number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
31,263.40039464745666,2026-03-14 17:52:29.975129,2026-03-14 17:52:31.946652,0 days 00:00:01.971523,0.9090722144108965,0.3728810847927375,0.005977896832268403,5,8,3983,0.0003127658794029294,0.11637030003914946,0.9956019823015898,COMPLETE
32,271.59842295496884,2026-03-14 17:52:31.952661,2026-03-14 17:52:33.604206,0 days 00:00:01.651545,0.9038428296441109,0.7820169597227331,0.005978066866567804,4,9,3614,0.02634661620288407,0.0067312510228570025,0.9917618944438069,COMPLETE
33,269.81547573869426,2026-03-14 17:52:33.606717,2026-03-14 17:52:35.204260,0 days 00:00:01.597543,0.9599619486211686,0.36747757032580763,0.008848829832843484,5,12,3746,0.00015120765971361337,0.1775612413856456,0.9486975326071904,COMPLETE
34,261.2896956056216,2026-03-14 17:52:35.206766,2026-03-14 17:52:36.759761,0 days 00:00:01.552995,0.9360680534349978,0.369012164579092,0.0073347681941383054,6,6,3466,0.00046804550103990926,8.140515262421791e-05,0.9749172270262738,COMPLETE
35,270.82786907861237,2026-03-14 17:52:36.764277,2026-03-14 17:52:37.953802,0 days 00:00:01.189525,0.7065513321021776,0.9620670260120101,0.007055174714062007,6,6,2934,0.0004048909183019733,0.001585596469865617,0.9777098966137155,COMPLETE
36,304.9773793527399,2026-03-14 17:52:37.956311,2026-03-14 17:52:39.261558,0 days 00:00:01.305247,0.9730655087346661,4.268381767504691,0.005882963282475953,7,3,3380,8.653106196235079e-07,7.955593497354736e-05,0.9297561300676659,COMPLETE
37,296.96172425813364,2026-03-14 17:52:39.264072,2026-03-14 17:52:40.031598,0 days 00:00:00.767526,0.940897343386504,2.3457751609171824,0.01190635418615943,8,12,2160,2.7917383778638972e-05,3.3478349580762685e-06,0.997787265071435,COMPLETE
38,305.72066756264854,2026-03-14 17:52:40.034109,2026-03-14 17:52:41.803120,0 days 00:00:01.769011,0.8204598141418354,1.373982609710553,0.007283754818940272,7,3,3552,5.046404126851811,0.10821825198587023,0.9717223767582635,COMPLETE
39,256.38701394331065,2026-03-14 17:52:41.806633,2026-03-14 17:52:43.597523,0 days 00:00:01.790890,0.9092655184432377,0.3165321725391047,0.009280717756372243,9,6,3035,0.06287811323403172,8.001657373459251e-06,0.8969312545364932,COMPLETE
40,246.71087012563444,2026-03-14 17:52:43.603038,2026-03-14 17:52:45.260622,0 days 00:00:01.657584,0.9016325788209733,0.29099670660549787,0.008951980086515062,9,4,3011,1.3473006863599206e-06,1.832927126575714e-05,0.8938896808686271,COMPLETE
41,255.57186260678517,2026-03-14 17:52:45.263128,2026-03-14 17:52:47.396756,0 days 00:00:02.133628,0.901329472822585,0.2516268396963777,0.0088895062639833,9,6,3006,3.760954756729174e-06,8.354310217251589e-06,0.8847631212175181,COMPLETE
42,257.88254815627255,2026-03-14 17:52:47.399765,2026-03-14 17:52:48.554876,0 days 00:00:01.155111,0.8701031479115964,0.8117204415003458,0.009831890923723061,9,4,2435,1.4255172191985918e-07,9.288127636469514e-06,0.8488251750588096,COMPLETE
43,256.53491881161295,2026-03-14 17:52:48.558394,2026-03-14 17:52:49.738546,0 days 00:00:01.180152,0.8741132525927654,0.7304746327595224,0.009825177001922758,9,4,2420,5.392267745505152e-07,7.891889091557807e-06,0.8470333115760407,COMPLETE
44,265.44158728288613,2026-03-14 17:52:49.741549,2026-03-14 17:52:50.864227,0 days 00:00:01.122678,0.873577898802895,0.8746380610663039,0.011159255879846858,9,2,2458,4.946184152352076e-07,1.2666487719252982e-06,0.8417444141879379,COMPLETE
45,260.65088534857983,2026-03-14 17:52:50.872251,2026-03-14 17:52:52.376366,0 days 00:00:01.504115,0.8995167403151532,0.7848046035368347,0.00957414153094559,9,4,2730,4.301946182883208e-08,7.919253348132397e-06,0.8796194945099338,COMPLETE
46,282.23209124104073,2026-03-14 17:52:52.378378,2026-03-14 17:52:53.521166,0 days 00:00:01.142788,0.8622782700458637,2.124573711821053,0.008778489371679191,9,4,2160,2.3625802833990137e-06,5.005155945705587e-07,0.9035276665829646,COMPLETE
47,255.55123830959815,2026-03-14 17:52:53.524695,2026-03-14 17:52:54.756340,0 days 00:00:01.231645,0.887267612244016,0.23606759485866624,0.0144234633346481,10,2,2294,1.3584373439062473e-07,8.312140193261484e-06,0.8382088063775266,COMPLETE
48,252.48420098635154,2026-03-14 17:52:54.761361,2026-03-14 17:52:55.672365,0 days 00:00:00.911004,0.8836974723013985,0.21044519663451747,0.013419507195128686,10,2,1691,6.074556589089379e-07,7.109269604502396e-05,0.8316756230926193,COMPLETE
49,260.20058278588493,2026-03-14 17:52:55.674876,2026-03-14 17:52:56.597491,0 days 00:00:00.922615,0.8928659677267149,0.28876704435300016,0.015919440692134853,10,2,1638,2.3490753007919265e-06,8.64782169756397e-05,0.875624854390364,COMPLETE
